2024-02-27 16:51:01,828   INFO  **********************Start logging**********************
2024-02-27 16:51:01,829   INFO  --------------------------------------------------------------
2024-02-27 16:51:01,829   INFO  |                         PARAMETERS                         |
2024-02-27 16:51:01,829   INFO  --------------------------------------------------------------
2024-02-27 16:51:01,829   INFO  | model_name               : MODEL
2024-02-27 16:51:01,829   INFO  | dataset_dir              : /private2/wanggang/instance_model_data/
2024-02-27 16:51:01,829   INFO  | batch_size               : 2
2024-02-27 16:51:01,829   INFO  | workers                  : 8
2024-02-27 16:51:01,829   INFO  | enable_log               : True
2024-02-27 16:51:01,829   INFO  | device                   : cuda
2024-02-27 16:51:01,829   INFO  | local_rank               : 0
2024-02-27 16:51:01,829   INFO  | without_sync_bn          : False
2024-02-27 16:51:01,829   INFO  | phase                    : train
2024-02-27 16:51:01,829   INFO  | num_epochs               : 50
2024-02-27 16:51:01,829   INFO  | load_checkpoint          : None
2024-02-27 16:51:01,829   INFO  | save_every               : 10
2024-02-27 16:51:01,829   INFO  | start_validation         : 5
2024-02-27 16:51:01,829   INFO  | validate_every           : 5
2024-02-27 16:51:01,829   INFO  | learning_rate            : 0.001
2024-02-27 16:51:01,830   INFO  | weight_decay             : 0.01
2024-02-27 16:51:01,830   INFO  | optimizer                : AdamW
2024-02-27 16:51:01,830   INFO  | scheduler                : ExponentialLR
2024-02-27 16:51:01,830   INFO  | agent_input_size         : 13
2024-02-27 16:51:01,830   INFO  | agent_hidden_size        : 128
2024-02-27 16:51:01,830   INFO  | map_input_size           : 5
2024-02-27 16:51:01,830   INFO  | map_hidden_size          : 128
2024-02-27 16:51:01,830   INFO  | d_model                  : 128
2024-02-27 16:51:01,830   INFO  | rpe_input_size           : 5
2024-02-27 16:51:01,830   INFO  | rpe_hidden_size          : 128
2024-02-27 16:51:01,830   INFO  | plan_input_size          : 4
2024-02-27 16:51:01,830   INFO  | decoder_hidden_size      : 128
2024-02-27 16:51:01,830   INFO  | bezier_order             : 7
2024-02-27 16:51:01,830   INFO  | dropout                  : 0.1
2024-02-27 16:51:01,830   INFO  | m                        : 50
2024-02-27 16:51:01,830   INFO  | update_edge              : True
2024-02-27 16:51:01,830   INFO  | init_weights             : True
2024-02-27 16:51:01,830   INFO  | reproducibility          : True
2024-02-27 16:51:01,830   INFO  | use_cuda                 : True
2024-02-27 16:51:01,830   INFO  | base_dir                 : .
2024-02-27 16:51:01,831   INFO  | save_base_dir            : output
2024-02-27 16:51:01,831   INFO  | save_dir                 : ./output
2024-02-27 16:51:01,831   INFO  | model_dir                : ./output/MODEL
2024-02-27 16:51:01,831   INFO  | log_dir                  : ./output/log
2024-02-27 16:51:01,831   INFO  | tensorboard_dir          : ./output/tensorboard
2024-02-27 16:51:01,831   INFO  | config                   : ./output/config_MODEL.yaml
2024-02-27 16:51:01,831   INFO  --------------------------------------------------------------

2024-02-27 16:51:05,583   INFO  0
2024-02-27 16:51:10,138   INFO  ----Epoch 1, time/epoch=4.55 sec,                                  learning_rate=0.00100, train_loss=50.93205, train_tar_cls_loss=5.98739, train_tar_offset_loss=0.60935, train_traj_loss=39.55515, train_score_loss=4.78016, train_safety_loss=0.00000
2024-02-27 16:51:11,816   INFO  ----Epoch 2, time/epoch=1.67 sec,                                  learning_rate=0.00099, train_loss=43.13080, train_tar_cls_loss=5.60582, train_tar_offset_loss=0.87026, train_traj_loss=31.92436, train_score_loss=4.73035, train_safety_loss=0.00000
2024-02-27 16:51:13,342   INFO  ----Epoch 3, time/epoch=1.52 sec,                                  learning_rate=0.00098, train_loss=41.37581, train_tar_cls_loss=5.12725, train_tar_offset_loss=0.23485, train_traj_loss=31.43549, train_score_loss=4.57822, train_safety_loss=0.00000
2024-02-27 16:51:14,880   INFO  ----Epoch 4, time/epoch=1.54 sec,                                  learning_rate=0.00097, train_loss=38.17166, train_tar_cls_loss=5.03223, train_tar_offset_loss=0.25335, train_traj_loss=28.28913, train_score_loss=4.59695, train_safety_loss=0.00000
2024-02-27 16:51:16,478   INFO  ----Epoch 5, time/epoch=1.59 sec,                                  learning_rate=0.00096, train_loss=36.26350, train_tar_cls_loss=5.24162, train_tar_offset_loss=0.16554, train_traj_loss=26.21272, train_score_loss=4.64363, train_safety_loss=0.00000
2024-02-27 16:51:17,841   INFO  Eval: case_num=14.0, top_acc=7.14%, target_fde=3.23379,                              traj_ade=5.31222, traj_fde=18.89407
2024-02-27 16:51:19,693   INFO  ----Epoch 6, time/epoch=1.65 sec,                                  learning_rate=0.00095, train_loss=33.51402, train_tar_cls_loss=4.76265, train_tar_offset_loss=0.12195, train_traj_loss=24.10671, train_score_loss=4.52271, train_safety_loss=0.00000
2024-02-27 16:51:21,333   INFO  ----Epoch 7, time/epoch=1.63 sec,                                  learning_rate=0.00094, train_loss=28.67179, train_tar_cls_loss=4.47637, train_tar_offset_loss=0.11518, train_traj_loss=19.47080, train_score_loss=4.60944, train_safety_loss=0.00000
2024-02-27 16:51:22,719   INFO  ----Epoch 8, time/epoch=1.38 sec,                                  learning_rate=0.00093, train_loss=30.53777, train_tar_cls_loss=4.88300, train_tar_offset_loss=0.11945, train_traj_loss=21.12598, train_score_loss=4.40934, train_safety_loss=0.00000
2024-02-27 16:51:24,677   INFO  ----Epoch 9, time/epoch=1.96 sec,                                  learning_rate=0.00092, train_loss=27.27313, train_tar_cls_loss=4.84137, train_tar_offset_loss=0.10230, train_traj_loss=18.00337, train_score_loss=4.32610, train_safety_loss=0.00000
2024-02-27 16:51:26,355   INFO  ----Epoch 10, time/epoch=1.68 sec,                                  learning_rate=0.00091, train_loss=28.66676, train_tar_cls_loss=4.88268, train_tar_offset_loss=0.21241, train_traj_loss=19.23056, train_score_loss=4.34112, train_safety_loss=0.00000
2024-02-27 16:51:26,398   INFO  Saved latest checkpoint at epoch 10
2024-02-27 16:51:27,469   INFO  Eval: case_num=14.0, top_acc=7.14%, target_fde=3.25388,                              traj_ade=4.00709, traj_fde=16.70585
2024-02-27 16:51:29,126   INFO  ----Epoch 11, time/epoch=1.47 sec,                                  learning_rate=0.00090, train_loss=21.64602, train_tar_cls_loss=4.64381, train_tar_offset_loss=0.07554, train_traj_loss=15.63806, train_score_loss=4.28860, train_safety_loss=-3.00000
2024-02-27 16:51:30,885   INFO  ----Epoch 12, time/epoch=1.76 sec,                                  learning_rate=0.00090, train_loss=17.23299, train_tar_cls_loss=3.91819, train_tar_offset_loss=0.15014, train_traj_loss=11.85856, train_score_loss=4.30611, train_safety_loss=-3.00000
2024-02-27 16:51:32,335   INFO  ----Epoch 13, time/epoch=1.45 sec,                                  learning_rate=0.00089, train_loss=17.09056, train_tar_cls_loss=4.34949, train_tar_offset_loss=0.15747, train_traj_loss=11.38590, train_score_loss=4.19771, train_safety_loss=-3.00000
2024-02-27 16:51:33,993   INFO  ----Epoch 14, time/epoch=1.66 sec,                                  learning_rate=0.00088, train_loss=20.22563, train_tar_cls_loss=4.43403, train_tar_offset_loss=0.06787, train_traj_loss=14.31242, train_score_loss=4.41131, train_safety_loss=-3.00000
2024-02-27 16:51:35,760   INFO  ----Epoch 15, time/epoch=1.77 sec,                                  learning_rate=0.00087, train_loss=16.70219, train_tar_cls_loss=3.87036, train_tar_offset_loss=0.12742, train_traj_loss=11.58678, train_score_loss=4.11763, train_safety_loss=-3.00000
2024-02-27 16:51:36,991   INFO  Eval: case_num=14.0, top_acc=7.14%, target_fde=3.00142,                              traj_ade=2.64384, traj_fde=5.84317
